en,it
energy transition,transizione energetica
greenhouse effect,effetto serra
biodiversity,biodiversità
extreme weather events,eventi meteorologici estremi
carbon emissions,emissioni di carbonio
emissions,emissioni
global warming,il riscaldamento globale
glaciers,ghiacciai
renewable energy,energia rinnovabile
fake news,notizie false
Catastrophe,catastrofe
Anthropic,antropico
Sustainable biofuels,biocarburanti sostenibili
Desertification,desertificazione
Deforestation,deforestazione
Clean energy,energia pulita
Sea Level Rise,innalzamento del livello del mare
Extinction,estinzione
