keyword,post_count,degree,strength,betweenness,closeness,clustering,community
calentamiento global,1100,14,272,0.07904411764705882,0.2786885245901639,0.0163116459184223,0
emisiones,1900,14,1180,0.14215686274509806,0.32075471698113206,0.028195958151803122,1
co2,1080,13,670,0.15870098039215685,0.34,0.024137183680065552,1
efecto invernadero,1074,11,684,0.024509803921568624,0.3148148148148148,0.034452756704193226,1
catástrofe,953,10,45,0.11151960784313725,0.34,0.010022960705552851,0
deforestación,1020,9,111,0.0625,0.32075471698113206,0.020599324439299935,0
desertificación,529,9,44,0.030637254901960786,0.3090909090909091,0.007740442714214509,0
extinción,1039,9,60,0.003676470588235294,0.29310344827586204,0.011500122343125394,0
pérdida de biodiversidad,360,9,100,0.00980392156862745,0.2982456140350877,0.01813344265600905,0
energía limpia,663,8,70,0.0,0.2361111111111111,0.013934597101489869,2
eventos climáticos extremos,112,8,18,0.36029411764705876,0.40476190476190477,0.0049995937314305525,0
aumento del nivel del mar,179,7,27,0.0778186274509804,0.3148148148148148,0.007145895942118477,0
transición verde,361,6,15,0.2107843137254902,0.3617021276595745,0.006893431596522378,2
energía renovable,643,6,35,0.014705882352941176,0.288135593220339,0.014921119076112847,2
desinformación,990,6,16,0.18075980392156862,0.37777777777777777,0.0032418402487158107,0
antropogénico,126,4,29,0.0,0.19540229885057472,0.017889461772308494,0
derretimiento de glaciares,18,2,11,0.0,0.125,0.013244475553474695,0
biocombustibles sostenibles,5,1,1,0.0,0.2463768115942029,0.0,1
